method,songs,genres,feature_count,accuracy_mean,accuracy_std,fold_scores,elapsed_seconds
Logistic Regression,978,14,93,0.22392464678178964,0.03317981632181146,0.1939;0.2092;0.2704;0.1897;0.2564,0.2159844000125304
SVM RBF,978,14,93,0.24743066457352172,0.022663667708089915,0.2398;0.2449;0.2704;0.2103;0.2718,0.31382209999719635
Random Forest,978,14,93,0.28426478283621137,0.02894848884395718,0.2398;0.3010;0.3010;0.2615;0.3179,5.3399414000159595
Extra Trees,978,14,93,0.26792778649921506,0.028611750662960123,0.2194;0.2755;0.2755;0.2615;0.3077,4.7320484000083525
Voting Ensemble,978,14,93,0.2668969126111983,0.030789209723442717,0.2194;0.2653;0.2908;0.2513;0.3077,10.497532499983208
